Rank,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,opponent_rank,Time,team_goals,opponent_goals,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent
12.0,1,0,2,9,6,3,3,8.0,0.9999999994858612,5,0,1.59,0.94,0.6,0.4,20,12,9,4,6,1,6,5,0.92,0.87,2.66,1.16,8,3,3,5,14,8,6,4,0,0,37,16,0,0,4,1,6,14,0.77,0.49,0.8,0.8,0.5,0.31,1.23,0.88,12,12,14,6,0.57,0.4,39,38,16,10,6,3,2,1,0,3,4,4,1.16,2.66,1.16,-2.34,0.0,0.0,2.0,0.0
12.0,1,0,2,9,6,3,3,3.0,0.9999999994858612,1,2,1.97,1.21,0.68,0.32,16,10,4,5,3,2,13,2,0.86,0.73,1.43,2.07,10,4,2,1,13,4,3,6,0,0,41,13,0,0,2,0,5,14,0.58,0.36,0.71,0.59,0.22,0.08,0.93,0.29,25,21,17,5,0.5,0.38,48,47,16,45,5,4,1,0,0,0,3,3,2.07,1.43,0.07,0.43,1.0,3.0,0.0,0.0
13.0,1,0,2,4,3,1,3,14.0,0.8740359892678478,0,1,0.76,1.13,0.59,0.41,13,10,3,3,1,1,7,3,0.87,0.84,1.05,1.39,6,5,4,2,11,8,2,2,0,0,21,22,1,0,1,0,15,11,0.38,0.49,0.75,0.61,0.21,0.4,0.82,0.34,18,18,11,15,0.55,0.6,41,48,15,32,9,11,1,0,0,0,2,3,1.39,1.05,0.39,1.05,3.0,6.0,0.0,0.0
13.0,1,0,2,4,3,1,3,10.0,0.8894601537843392,0,2,0.26,1.31,0.37,0.63,5,19,1,6,1,2,0,6,0.84,0.9,0.29,1.88,3,12,1,1,3,12,2,7,0,1,14,32,0,1,1,0,15,12,0.61,0.66,0.75,0.77,0.5,0.27,0.32,1.18,26,24,12,15,0.5,0.72,50,59,19,8,11,10,1,0,0,0,4,1,1.88,0.29,-0.12,-0.71,3.0,2.0,0.0,0.0
13.0,1,0,2,4,3,1,3,17.0,0.9999999994858612,4,0,4.13,0.92,0.7,0.3,22,12,6,4,6,1,8,1,0.92,0.79,3.63,0.8,8,5,8,3,14,8,8,4,0,1,31,20,3,1,1,1,19,7,0.77,0.47,0.78,0.62,0.2,0.29,2.31,0.64,17,12,8,19,0.67,0.6,52,37,5,24,14,9,4,0,0,2,4,2,0.8,3.63,0.8,-0.37,0.0,0.0,1.0,0.0
14.0,1,0,2,3,5,-2,3,13.0,0.8740359892678478,1,0,1.13,0.76,0.41,0.59,10,13,3,3,1,1,3,7,0.84,0.87,1.39,1.05,5,6,2,4,8,11,2,2,0,0,22,21,0,1,0,1,11,15,0.49,0.38,0.61,0.75,0.4,0.21,0.34,0.82,18,18,15,11,0.6,0.55,48,41,32,15,11,9,0,1,0,0,3,2,1.05,1.39,1.05,0.39,6.0,3.0,0.0,0.0
14.0,1,0,2,3,5,-2,3,1.0,0.8894601537843392,0,2,0.38,1.19,0.38,0.62,7,13,2,4,0,2,1,2,0.85,0.9,0.04,1.24,4,4,1,5,3,7,4,6,0,2,9,12,0,2,0,0,16,17,0.31,0.53,0.69,0.78,0.25,0.2,0.38,0.67,10,18,17,17,0.81,0.64,45,54,14,10,12,5,2,0,0,0,2,2,1.24,0.04,-0.76,0.04,3.0,1.0,0.0,1.0
14.0,1,0,2,3,5,-2,3,4.0,0.8894601537843392,2,3,1.32,3.31,0.58,0.42,9,11,6,6,2,6,4,5,0.84,0.75,1.96,3.2,2,2,1,3,6,8,3,3,1,0,22,17,0,0,2,0,11,16,0.47,0.36,0.68,0.6,0.29,0.13,0.41,0.59,14,30,17,12,0.73,0.63,42,55,27,17,3,5,0,0,1,0,3,4,3.2,1.96,0.2,-0.04,2.0,2.0,0.0,1.0
15.0,0,2,1,2,4,-2,2,1.0,0.9999999994858612,1,3,1.65,3.29,0.53,0.47,19,14,3,9,2,6,8,5,0.82,0.83,0.43,3.53,8,2,8,3,14,11,5,3,0,1,32,27,1,2,0,0,14,13,0.38,0.34,0.62,0.69,0.3,0.08,1.44,1.71,14,11,14,14,0.54,0.79,52,53,15,32,6,6,0,1,0,0,6,2,3.53,0.43,0.53,-0.57,0.0,0.0,0.0,0.0
15.0,0,2,1,2,4,-2,2,7.0,0.8894601537843392,1,1,0.98,1.14,0.55,0.45,4,14,1,6,2,2,2,3,0.83,0.82,0.78,1.01,2,7,1,1,2,10,2,4,0,0,10,24,0,0,4,1,18,14,0.32,0.6,0.55,0.74,0.44,0.38,0.85,0.88,15,18,14,18,0.67,0.58,54,39,16,27,6,3,0,0,1,0,5,0,1.01,0.78,0.01,-0.22,2.0,4.0,1.0,1.0
15.0,0,2,1,2,4,-2,2,8.0,0.8894601537843392,0,0,1.75,1.02,0.55,0.45,16,7,4,4,1,2,3,7,0.83,0.77,0.38,1.35,8,2,4,1,8,6,8,1,0,0,20,22,1,0,1,2,20,13,0.47,0.55,0.66,0.61,0.36,0.28,0.54,0.6,13,18,13,21,0.45,0.71,48,43,23,21,10,6,0,0,0,0,4,4,1.35,0.38,1.35,0.38,2.0,2.0,0.0,0.0
16.0,0,1,1,0,1,-1,1,20.0,0.8894601537843392,0,0,0.5,0.37,0.59,0.41,5,7,2,0,1,1,3,7,0.75,0.7,0.71,0.0,2,3,1,4,2,5,3,2,0,0,6,16,0,1,0,2,12,15,0.3,0.38,0.5,0.63,0.0,0.14,0.22,0.29,19,28,16,13,0.65,0.53,60,49,24,18,6,12,0,0,0,0,0,2,0.0,0.71,0.0,0.71,2.0,3.0,0.0,0.0
16.0,0,1,1,0,1,-1,1,2.0,0.8894601537843392,0,1,0.55,1.03,0.44,0.56,10,13,1,3,0,2,3,4,0.75,0.8,0.12,1.35,6,4,3,6,6,8,4,5,1,0,14,20,0,0,0,2,15,13,0.27,0.46,0.58,0.7,0.18,0.36,0.57,0.61,23,31,14,15,0.57,0.5,60,59,20,21,6,6,0,1,0,0,2,1,1.35,0.12,0.35,0.12,1.0,2.0,0.0,1.0
